 ,Label,Area,Mean,Min,Max,XM,YM,Perim.,IntDen,RawIntDen,Slice
166,20190816_foci_10ugml_60min_03.TIF:0010-0363-0222:10,32,5720.562,4211,8432,221.994,363.077,18.850,183058.000,183058.000,10
167,20190816_foci_10ugml_60min_03.TIF:0011-0353-0201:11,32,9181.281,4337,17463,201.185,353.297,18.850,293801.000,293801.000,11
168,20190816_foci_10ugml_60min_03.TIF:0011-0346-0212:11,32,9313.844,4750,17377,212.099,346.000,18.850,298043.000,298043.000,11
169,20190816_foci_10ugml_60min_03.TIF:0011-0361-0216:11,32,8377.000,4591,15735,216.349,361.317,18.850,268064.000,268064.000,11
170,20190816_foci_10ugml_60min_03.TIF:0011-0356-0215:11,32,5650.000,4490,9020,215.058,356.007,18.850,180800.000,180800.000,11
171,20190816_foci_10ugml_60min_03.TIF:0006-0375-0282:6,32,6609.656,3557,11477,282.086,375.142,18.850,211509.000,211509.000,6
172,20190816_foci_10ugml_60min_03.TIF:0007-0358-0282:7,32,5124.531,3497,8536,282.114,358.212,18.850,163985.000,163985.000,7
173,20190816_foci_10ugml_60min_03.TIF:0007-0365-0272:7,32,5162.531,3661,8467,272.218,365.022,18.850,165201.000,165201.000,7
174,20190816_foci_10ugml_60min_03.TIF:0008-0368-0304:8,32,6553.062,4094,9905,304.092,368.161,18.850,209698.000,209698.000,8
175,20190816_foci_10ugml_60min_03.TIF:0008-0371-0279:8,32,6280.375,4150,8407,279.113,371.074,18.850,200972.000,200972.000,8
176,20190816_foci_10ugml_60min_03.TIF:0010-0371-0272:10,32,6044.250,3801,9758,272.065,371.187,18.850,193416.000,193416.000,10
177,20190816_foci_10ugml_60min_03.TIF:0003-0397-0149:3,32,8767.969,4775,11694,149.156,397.146,18.850,280575.000,280575.000,3
178,20190816_foci_10ugml_60min_03.TIF:0004-0398-0154:4,32,8224.812,5882,10607,154.022,398.122,18.850,263194.000,263194.000,4
179,20190816_foci_10ugml_60min_03.TIF:0007-0389-0130:7,32,8029.812,5588,9678,130.010,389.118,18.850,256954.000,256954.000,7
180,20190816_foci_10ugml_60min_03.TIF:0008-0390-0130:8,32,9056.375,6137,11571,129.969,390.147,18.850,289804.000,289804.000,8
181,20190816_foci_10ugml_60min_03.TIF:0008-0371-0157:8,32,5732.875,3613,8343,156.970,371.233,18.850,183452.000,183452.000,8
182,20190816_foci_10ugml_60min_03.TIF:0009-0389-0161:9,32,8819.812,4534,18556,161.225,389.181,18.850,282234.000,282234.000,9
